title,company,location,date_posted,score,job_url
ML Data Scientist,Apple,"TS, IN",3/9/2026,0.4134649,https://in.indeed.com/viewjob?jk=59229c404c27516e
ML Data Scientist,Apple,India,3/11/2026,0.4134649,https://www.glassdoor.co.in/job-listing/j?jl=1010061161014
Solutions Consultant - Analytics & Innovation:,LSEG (London Stock Exchange Group),Mumbai,3/11/2026,0.4129936,https://www.glassdoor.co.in/job-listing/j?jl=1010060551374
Research Engineer II,Microsoft,Bengaluru,3/12/2026,0.40592557,https://www.glassdoor.co.in/job-listing/j?jl=1010062494767
Research Engineer II,Microsoft,"KA, IN",2/13/2026,0.40592557,https://in.indeed.com/viewjob?jk=95d198d279bc8465
Sr. D&T Data Scientist,General Mills,"MH, IN",3/10/2026,0.40220353,https://in.indeed.com/viewjob?jk=d3598564df6ad46f
"Applied Scientist, Central Machine Learning",Amazon.com,"KA, IN",10/8/2025,0.39931524,https://in.indeed.com/viewjob?jk=59e263950338dd45
"Applied Scientist, Central Machine Learning",Amazon.com,"TS, IN",10/8/2025,0.39931524,https://in.indeed.com/viewjob?jk=95f54ca6b5e75a8d
"Applied Scientist, Central Machine Learning",ADCI - Karnataka,Hyderābād,3/13/2026,0.39931524,https://www.glassdoor.co.in/job-listing/j?jl=1010063793552
Senior Data Scientist I,Elsevier,IN,3/10/2026,0.39273864,https://in.indeed.com/viewjob?jk=0f5490be7d599493
Senior Data Scientist I,RELX Group,IN,3/10/2026,0.39273864,https://in.indeed.com/viewjob?jk=a64f95ad6c5c9fca
Data Scientist - Analyst,JPMorganChase,"KA, IN",3/12/2026,0.38771236,https://in.indeed.com/viewjob?jk=49e6ae576125ebbb
Lead Data Scientist,Data Axle,Pune,3/13/2026,0.3875054,https://www.glassdoor.co.in/job-listing/j?jl=1010063458419
Lead Data Scientist,Data Axle,"MH, IN",3/11/2026,0.3875054,https://in.indeed.com/viewjob?jk=33fc3dfe29f3722a
Data Scientist,Whitefield Careers Private Limited,"KA, IN",3/11/2026,0.387185,https://in.indeed.com/viewjob?jk=4bf0435474001922
Data Scientist,Whitefield Careers Private Limited,Bengaluru,3/12/2026,0.387185,https://www.glassdoor.co.in/job-listing/j?jl=1010062211726
Software Engineer II,Microsoft,Hyderābād,3/11/2026,0.38660532,https://www.glassdoor.co.in/job-listing/j?jl=1010060756913
"Engineer, Staff-Machine Learning Tools-C++,Embedded",Qualcomm,"TS, IN",3/10/2026,0.38552547,https://in.indeed.com/viewjob?jk=1083ecf2dd267a5c
EMC ML Engineer,Apple,"KA, IN",3/9/2026,0.3749646,https://in.indeed.com/viewjob?jk=9426866cce28b2ca
EMC ML Engineer,Apple,"KA, IN",3/9/2026,0.3749646,https://in.indeed.com/viewjob?jk=4ae12d7b7d316cf4
Senior Analyst - Medical Informatics,AstraZeneca,"TN, IN",3/10/2026,0.37450922,https://in.indeed.com/viewjob?jk=f094d155b405d7ed
Data Scientist,Acviss Technologies Pvt. Ltd.,Bengaluru,3/11/2026,0.3686131,https://www.glassdoor.co.in/job-listing/j?jl=1010060548487
Applied AI ML Associate Senior,JPMorganChase,Bengaluru,3/13/2026,0.36658567,https://www.glassdoor.co.in/job-listing/j?jl=1010062866780
Applied AI ML Associate Senior,JPMorganChase,"KA, IN",3/11/2026,0.36658567,https://in.indeed.com/viewjob?jk=9528b88444b9ffc1
Associate Director- Innovation,HSBC,"KA, IN",3/10/2026,0.34594268,https://in.indeed.com/viewjob?jk=1332faf80360bf6e
"Assistant Director,UWS Ops Analytics Lead UK",HSBC,"KA, IN",3/12/2026,0.32457078,https://in.indeed.com/viewjob?jk=0dfb7be729cf1c7a
Lead Digital Product Development,Kenvue,"KA, IN",3/11/2026,0.3047772,https://in.indeed.com/viewjob?jk=79bd2936bb42fea3
ML Engineer,Payoda,Hyderābād,3/13/2026,0.23773354,https://www.glassdoor.co.in/job-listing/j?jl=1010063489346
ML Engineer,PAYODA,"TS, IN",3/12/2026,0.23773354,https://in.indeed.com/viewjob?jk=52b7e6439b10afbd
Senior Data Scientist I,Elsevier,India,3/11/2026,0.09356899,https://www.glassdoor.co.in/job-listing/j?jl=1010060896253
Sr. Consultant -AI and ML,Technovalley Software India Pvt Ltd,Cochin,3/12/2026,0.09356899,https://www.glassdoor.co.in/job-listing/j?jl=1010062335873
Equipment Data Foundation Model Specialist,GE HEALTHCARE,Bengaluru,3/11/2026,0.09356899,https://www.glassdoor.co.in/job-listing/j?jl=1010061079214
Senior AI Engineer,Takeda Pharmaceutical,Bengaluru,3/11/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010060045384
"Engineer, Staff-Machine Learning Tools-C++,Embedded",Qualcomm,Hyderābād,3/12/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010061398127
AI Solutions Engineer,NTT Ltd,Bengaluru,3/11/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010060821648
